hazard_id,date,year,month,week,quarter,weekday,area_code,area_name,hazard_category,hazard_type,description,risk_level,risk_score,status,rectify_date,rectify_days,responsible,inspector,data_type
HZ-2024-00001,2024-01-01,2024,1,1,2024Q1,Monday,UTILITIES,公用工程,机械安全,防护罩缺失,公用工程设备防护装置被拆除,Low,1,已整改,2024-01-26,25.0,伍磊,尹娟,historical
HZ-2024-00002,2024-01-01,2024,1,1,2024Q1,Monday,NICKEL_COBALT,镍钴车间,行走安全,台阶损坏,镍钴车间楼梯台阶破损,Low,1,已整改,2024-01-13,12.0,何桂英,王莉,historical
HZ-2024-00003,2024-01-01,2024,1,1,2024Q1,Monday,FINISHED_GOODS,成品仓库,消防安全,灭火器过期,成品仓库灭火器超过有效期,High,10,已整改,2024-01-02,1.0,陈琴,孟红霞,historical
HZ-2024-00004,2024-01-01,2024,1,1,2024Q1,Monday,RAW_MATERIAL,原料仓库,消防安全,烟感故障,原料仓库烟感探测器故障未修复,Low,1,已整改,2024-02-20,50.0,修桂香,王畅,historical
HZ-2024-00005,2024-01-01,2024,1,1,2024Q1,Monday,FINISHED_GOODS,成品仓库,个人防护,PPE佩戴不规范,成品仓库作业人员未佩戴安全帽,Low,2,已整改,2024-01-08,7.0,骆玉梅,陈建,historical
HZ-2024-00006,2024-01-01,2024,1,1,2024Q1,Monday,RAW_MATERIAL,原料仓库,消防安全,烟感故障,原料仓库烟感探测器故障未修复,Low,1,已整改,2024-01-28,27.0,许明,沈彬,historical
HZ-2024-00007,2024-01-02,2024,1,1,2024Q1,Tuesday,UTILITIES,公用工程,个人防护,防护用品缺失,公用工程防护用品配备不足,Medium,5,已整改,2024-01-16,14.0,李建军,李英,historical
HZ-2024-00008,2024-01-02,2024,1,1,2024Q1,Tuesday,CONTROL_CENTER,中控室,消防安全,灭火器过期,中控室灭火器超过有效期,Low,1,已整改,2024-01-15,13.0,解玉梅,孙丽,historical
HZ-2024-00009,2024-01-02,2024,1,1,2024Q1,Tuesday,ELECTROLYSIS,电解车间,电气安全,配电箱隐患,电解车间配电箱警示标识缺失,Low,2,已整改,2024-01-19,17.0,仲淑珍,陈秀芳,historical
HZ-2024-00010,2024-01-02,2024,1,1,2024Q1,Tuesday,UTILITIES,公用工程,消防安全,消防栓问题,公用工程消防栓箱内设备不全,Low,2,已整改,2024-01-31,29.0,杨静,张洁,historical
HZ-2024-00011,2024-01-02,2024,1,1,2024Q1,Tuesday,FINISHED_GOODS,成品仓库,机械安全,设备故障,成品仓库设备带病运行,Low,3,逾期,,,喻娟,孙涛,historical
HZ-2024-00012,2024-01-02,2024,1,1,2024Q1,Tuesday,RAW_MATERIAL,原料仓库,行走安全,护栏缺失,原料仓库踢脚板缺失,Low,2,已整改,2024-01-27,25.0,孙鹏,赵艳,historical
HZ-2024-00013,2024-01-02,2024,1,1,2024Q1,Tuesday,FINISHED_GOODS,成品仓库,电气安全,临时用电,成品仓库临时电缆未架空，存在损坏风险,Low,3,已整改,2024-01-28,26.0,胡杰,李丽娟,historical
HZ-2024-00019,2024-01-03,2024,1,1,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,行走安全,通道障碍,镍钴车间通道被物料堆占,Low,1,已整改,2024-02-01,29.0,张伟,李晶,historical
HZ-2024-00018,2024-01-03,2024,1,1,2024Q1,Wednesday,RAW_MATERIAL,原料仓库,电气安全,临时用电,原料仓库临时配电箱未接地,High,10,已整改,2024-01-05,2.0,汪凯,夏峰,historical
